9F01,Acquirer Identifier
9F40,Additional Terminal Capabilities
81	,Amount Authorised (Binary)
9F02,Amount Authorised (Numeric)
9F04,Amount Other (Binary)
9F03,Amount Other (Numeric)
9F3A,Amount Reference Currency
9F26,Application Cryptogram
9F42,Application Currency Code
9F44,Application Currency Exponent
9F05,Application Discretionary Data
5F25,Application Effective Date
5F24,Application Expiration Date
94	,Application File Locator (AFL)
4F	,Application Identifier (AID) – card
9F06,Application Identifier (AID) – terminal
82	,Application Interchange Profile
50	,Application Label	Mnemonic
9F12,Application Preferred Name 
5A	,Application Primary Account Number (PAN)
5F34,Application Primary Account Number (PAN)
87	,Application Priority Indicator
9F3B,Application Reference Currency
9F43,Application Reference Currency Exponent
61	,Application Template
9F36,Application Transaction Counter (ATC)
9F07,Application Usage Control
9F08,Application Version Number
9F09,Application Version Number
89	,Authorisation Code	Value
8A	,Authorisation Response Code
5F54,Bank Identifier Code (BIC)
8C	,Card Risk Management Data Object List
8D	,Card Risk Management Data Object List
5F20,Cardholder Name
9F0B,Cardholder Name Extended
8E	,Cardholder Verification Method (CVM) 
9F34,Cardholder Verification Method (CVM) 
8F	,Certification Authority Public Key 
9F22,Certification Authority Public Key 
83  ,Command Template
9F27,Cryptogram Information Data
9F45,Data Authentication Code
84	,Dedicated File (DF) Name
9D	,Directory Definition File (DDF)
73	,Directory Discretionary Template
9F49,Dynamic Data Authentication Data Object List (DDOL)
70	,EMV Proprietary Template
BF0C,File Control Information (FCI)
A5  ,File Control Information (FCI) Proprietary Template
6F	,File Control Information (FCI) Template
9F4C,ICC Dynamic Number
9F2D,Integrated Circuit Card (ICC)
9F2E,Integrated Circuit Card (ICC)
9F2F,Integrated Circuit Card (ICC)
9F46,Integrated Circuit Card (ICC)
9F47,Integrated Circuit Card (ICC)
9F48,Integrated Circuit Card (ICC)
9F1E,Interface Device (IFD) Serial Number
5F53,International Bank Account Number (IBAN)
9F0D,Issuer Action Code – Default
9F0E,Issuer Action Code – Denial
9F0F,Issuer Action Code – Online
9F10,Issuer Application Data
91  ,Issuer Authentication Data
9F11,Issuer Code Table Index
5F28,Issuer Country Code
5F55,Issuer Country Code (alpha2 format)
5F56,Issuer Country Code (alpha3 format)
42  ,Issuer Identification Number (IIN)
90	,Issuer Public Key Certificate
9F32,Issuer Public Key Exponent	Issuer
92	,Issuer Public Key Remainder
86	,Issuer Script Command
9F18,Issuer Script Identifier
71	,Issuer Script Template
72  ,Issuer Script Template
5F50,Issuer URL
5F2D,Language Preference
9F13,Last Online Application Transaction Counter (ATC)
9F4D,Log Entry
9F4F,Log Format	List
9F14,Lower Consecutive Offline Limit
9F15,Merchant Category Code
9F16,Merchant Identifier
9F4E,Merchant Name and Location	Indicates
9F17,Personal Identification Number (PIN
9F39,Point-of-Service (POS)
9F38,Processing Options Data Object List (PDOL)
80	,Response Message Template 
77	,Response Message Template 
5F30,Service Code
88	,Short File Identifier (SFI)
9F4B,Signed Dynamic Application Data
93	,Signed Static Application Data
9F4A,Static Data Authentication Tag List
9F33,Terminal Capabilities
9F1A,Terminal Country Code
9F1B,Terminal Floor Limit
9F1C,Terminal Identification
9F1D,Terminal Risk Management Data
9F35,Terminal Type
95	,Terminal Verification Results
9F1F,Track 1 Discretionary
9F20,Track 2 Discretionary
57  ,Track 2 Equivalent Data
98	,Transaction Certificate (TC) Hash Value
97	,Transaction Certificate Data Object List (TDOL)
5F2A,Transaction Currency Code
5F36,Transaction Currency
99  ,Transaction Personal Identification Number (PIN)
9F3C,Transaction Reference Currency Code
9F3D,Transaction Reference Currency Exponent
9F41,Transaction Sequence Counter
9B	,Transaction Status
9F21,Transaction Time
9C	,Transaction Type
9F37,Unpredictable Number
9F23,Upper Consecutive Offline Limit
